"lake","midas","station","datetime","date","time","agency","project","depth","type","tp_ppm","rep","lab","count","qual","midascheck","year","month"
"dexter","3830",1,"1976-4-28 0:00:00",1976-04-28,"0:00:00","cw",NA,5.5,"c",0.008,1,"dep lab",1,"ec","3830 dexter p",1976,4
"dexter","3830",1,"1976-6-14 0:00:00",1976-06-14,"0:00:00","cw",NA,NA,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1976,6
"dexter","3830",1,"1976-6-30 0:00:00",1976-06-30,"0:00:00","cw",NA,NA,"c",0.02,1,"dep lab",1,"ec","3830 dexter p",1976,6
"dexter","3830",1,"1976-7-8 0:00:00",1976-07-08,"0:00:00","cw",NA,NA,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1976,7
"dexter","3830",1,"1976-7-22 0:00:00",1976-07-22,"0:00:00","cw",NA,6,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1976,7
"dexter","3830",1,"1976-8-5 0:00:00",1976-08-05,"0:00:00","cw",NA,NA,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1976,8
"dexter","3830",1,"1976-8-19 0:00:00",1976-08-19,"0:00:00","cw",NA,5,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1976,8
"dexter","3830",1,"1976-9-6 0:00:00",1976-09-06,"0:00:00","cw",NA,NA,"c",0.009,1,"dep lab",1,"ec","3830 dexter p",1976,9
"dexter","3830",1,"1976-9-21 0:00:00",1976-09-21,"0:00:00","cw",NA,7,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1976,9
"dexter","3830",1,"1976-10-4 0:00:00",1976-10-04,"0:00:00","cw",NA,7,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1976,10
"dexter","3830",1,"1976-10-20 0:00:00",1976-10-20,"0:00:00","cw",NA,6,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1976,10
"dexter","3830",1,"1978-5-12 0:00:00",1978-05-12,"0:00:00","",NA,0.5,"g",0.007,1,"dep lab",1,"sg","3830 dexter p",1978,5
"dexter","3830",1,"1979-5-8 0:00:00",1979-05-08,"0:00:00","",NA,5,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1979,5
"dexter","3830",1,"1980-4-24 0:00:00",1980-04-24,"0:00:00","",NA,7,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1980,4
"dexter","3830",1,"1981-6-11 0:00:00",1981-06-11,"0:00:00","",NA,6,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1981,6
"dexter","3830",1,"1981-8-28 0:00:00",1981-08-28,"0:00:00","",NA,1,"g",0.02,1,"dep lab",3,"pg","3830 dexter p",1981,8
"dexter","3830",1,"1981-8-28 0:00:00",1981-08-28,"0:00:00","",NA,3,"g",0.01,1,"dep lab",3,"pg","3830 dexter p",1981,8
"dexter","3830",1,"1981-8-28 0:00:00",1981-08-28,"0:00:00","",NA,6,"g",0.01,1,"dep lab",3,"pg","3830 dexter p",1981,8
"dexter","3830",1,"1981-9-30 0:00:00",1981-09-30,"0:00:00","",NA,6,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1981,9
"dexter","3830",1,"1982-3-24 0:00:00",1982-03-24,"0:00:00","",NA,1,"g",0.006,1,"dep lab",3,"pg","3830 dexter p",1982,3
"dexter","3830",1,"1982-3-24 0:00:00",1982-03-24,"0:00:00","",NA,3,"g",0.007,1,"dep lab",3,"pg","3830 dexter p",1982,3
"dexter","3830",1,"1982-3-24 0:00:00",1982-03-24,"0:00:00","",NA,6,"c",0.006,1,"dep lab",1,"ec","3830 dexter p",1982,3
"dexter","3830",1,"1982-3-24 0:00:00",1982-03-24,"0:00:00","",NA,6,"g",0.007,1,"dep lab",3,"pg","3830 dexter p",1982,3
"dexter","3830",1,"1982-5-12 0:00:00",1982-05-12,"0:00:00","",NA,6,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1982,5
"dexter","3830",1,"1982-8-17 0:00:00",1982-08-17,"0:00:00","",NA,1,"g",0.008,1,"dep lab",3,"pg","3830 dexter p",1982,8
"dexter","3830",1,"1982-8-17 0:00:00",1982-08-17,"0:00:00","",NA,3,"g",0.04,1,"dep lab",3,"pg","3830 dexter p",1982,8
"dexter","3830",1,"1982-8-17 0:00:00",1982-08-17,"0:00:00","",NA,6,"g",0.01,1,"dep lab",3,"pg","3830 dexter p",1982,8
"dexter","3830",1,"1982-9-28 0:00:00",1982-09-28,"0:00:00","",NA,6,"c",0.009,1,"dep lab",1,"ec","3830 dexter p",1982,9
"dexter","3830",1,"1983-5-11 0:00:00",1983-05-11,"0:00:00","",NA,6,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1983,5
"dexter","3830",1,"1985-5-29 0:00:00",1985-05-29,"0:00:00","",NA,6,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1985,5
"dexter","3830",1,"1985-8-21 0:00:00",1985-08-21,"0:00:00","",NA,5,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1985,8
"dexter","3830",1,"1986-5-30 0:00:00",1986-05-30,"0:00:00","",NA,6,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1986,5
"dexter","3830",1,"1986-8-21 0:00:00",1986-08-21,"0:00:00","",NA,4,"c",0.008,1,"dep lab",1,"ec","3830 dexter p",1986,8
"dexter","3830",1,"1987-5-22 0:00:00",1987-05-22,"0:00:00","",NA,6,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1987,5
"dexter","3830",1,"1988-5-31 0:00:00",1988-05-31,"0:00:00","",NA,6,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1988,5
"dexter","3830",1,"1990-5-31 0:00:00",1990-05-31,"0:00:00","",NA,6,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1990,5
"dexter","3830",1,"1990-6-23 0:00:00",1990-06-23,"0:00:00","",NA,5,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1990,6
"dexter","3830",1,"1990-7-31 0:00:00",1990-07-31,"0:00:00","",NA,5,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1990,7
"dexter","3830",1,"1990-8-27 0:00:00",1990-08-27,"0:00:00","",NA,5,"c",0.009,1,"dep lab",1,"ec","3830 dexter p",1990,8
"dexter","3830",1,"1990-9-26 0:00:00",1990-09-26,"0:00:00","",NA,6,"c",0.01,1,"dep lab",1,"ec","3830 dexter p",1990,9
"dexter","3830",1,"1993-5-25 0:00:00",1993-05-25,"0:00:00","cw","3",4,"c",0.01,1,"d",1,"ec","3830 dexter p",1993,5
"dexter","3830",1,"1993-6-29 0:00:00",1993-06-29,"0:00:00","cw","3",4,"c",0.008,1,"d",1,"ec","3830 dexter p",1993,6
"dexter","3830",1,"1993-7-27 0:00:00",1993-07-27,"0:00:00","cw","3",4,"c",0.01,1,"d",1,"ec","3830 dexter p",1993,7
"dexter","3830",1,"1993-8-24 0:00:00",1993-08-24,"0:00:00","cw","3",5,"c",0.01,1,"d",1,"ec","3830 dexter p",1993,8
"dexter","3830",1,"1993-9-21 0:00:00",1993-09-21,"0:00:00","cw","3",6,"c",0.01,1,"d",1,"ec","3830 dexter p",1993,9
"dexter","3830",1,"1996-5-16 0:00:00",1996-05-16,"0:00:00","cw","3",6,"c",0.01,1,"d",1,"ec","3830 dexter p",1996,5
"dexter","3830",1,"1996-6-11 0:00:00",1996-06-11,"0:00:00","cw","3",4,"c",0.02,1,"d",1,"ec","3830 dexter p",1996,6
"dexter","3830",1,"1996-7-12 0:00:00",1996-07-12,"0:00:00","cw","3",4,"c",0.01,1,"d",1,"ec","3830 dexter p",1996,7
"dexter","3830",1,"1996-8-13 0:00:00",1996-08-13,"0:00:00","cw","3",4,"c",0.01,1,"d",1,"ec","3830 dexter p",1996,8
"dexter","3830",1,"1996-9-24 0:00:00",1996-09-24,"0:00:00","cw","3",5,"c",0.01,1,"d",1,"ec","3830 dexter p",1996,9
"dexter","3830",1,"1999-5-13 0:00:00",1999-05-13,"0:00:00","cw","3",4,"c",0.01,1,"d",1,"ec","3830 dexter p",1999,5
"dexter","3830",1,"1999-6-8 0:00:00",1999-06-08,"0:00:00","cw","3",4,"c",0.01,1,"d",1,"ec","3830 dexter p",1999,6
"dexter","3830",1,"1999-7-8 0:00:00",1999-07-08,"0:00:00","cw","3",4,"c",0.01,1,"d",1,"ec","3830 dexter p",1999,7
"dexter","3830",1,"1999-8-9 0:00:00",1999-08-09,"0:00:00","cw","3",5,"c",0.009,1,"d",1,"ec","3830 dexter p",1999,8
"dexter","3830",1,"1999-9-8 0:00:00",1999-09-08,"0:00:00","cw","3",5,"c",0.01,1,"d",1,"ec","3830 dexter p",1999,9
"dexter","3830",1,"2001-8-30 0:00:00",2001-08-30,"0:00:00","ei","2",5,"c",0.008,1,"ecl",1,"ec","3830 dexter p",2001,8
"dexter","3830",1,"2002-5-21 0:00:00",2002-05-21,"0:00:00","cw","3",7,"c",0.01,1,"d",1,"ec","3830 dexter p",2002,5
"dexter","3830",1,"2002-6-17 0:00:00",2002-06-17,"0:00:00","cw","3",5,"c",0.01,1,"d",1,"ec","3830 dexter p",2002,6
"dexter","3830",1,"2002-7-17 0:00:00",2002-07-17,"0:00:00","cw","3",4,"c",0.01,1,"d",1,"ec","3830 dexter p",2002,7
"dexter","3830",1,"2002-8-20 0:00:00",2002-08-20,"0:00:00","cw","3",4,"c",0.01,1,"d",1,"ec","3830 dexter p",2002,8
"dexter","3830",1,"2002-9-20 0:00:00",2002-09-20,"0:00:00","cw","3",5,"c",0.01,1,"d",1,"ec","3830 dexter p",2002,9
"dexter","3830",1,"2002-10-23 0:00:00",2002-10-23,"0:00:00","cw","3",6,"c",0.01,1,"d",1,"ec","3830 dexter p",2002,10
"dexter","3830",1,"2005-5-5 0:00:00",2005-05-05,"0:00:00","cw","3",6,"c",0.009,1,"d",1,"ec","3830 dexter p",2005,5
"dexter","3830",1,"2005-6-13 0:00:00",2005-06-13,"0:00:00","cw","3",6,"c",0.01,1,"d",1,"ec","3830 dexter p",2005,6
"dexter","3830",1,"2005-7-12 0:00:00",2005-07-12,"0:00:00","cw","3",4,"c",0.01,1,"d",1,"ec","3830 dexter p",2005,7
"dexter","3830",1,"2005-8-10 0:00:00",2005-08-10,"0:00:00","cw","3",4,"c",0.009,1,"d",1,"ec","3830 dexter p",2005,8
"dexter","3830",1,"2005-9-16 0:00:00",2005-09-16,"0:00:00","cw","3",4,"c",0.006,1,"d",1,"ec","3830 dexter p",2005,9
"dexter","3830",1,"2005-10-17 0:00:00",2005-10-17,"0:00:00","cw","3",7,"c",0.01,1,"d",1,"ec","3830 dexter p",2005,10
"dexter","3830",1,"2006-8-29 0:00:00",2006-08-29,"0:00:00","cw","3",4,"c",0.009,1,"secrl",1,"ec","3830 dexter p",2006,8
"dexter","3830",1,"2008-5-20 0:00:00",2008-05-20,"0:00:00","cw","3",4,"c",0.01,1,"d",1,"ec","3830 dexter p",2008,5
"dexter","3830",1,"2008-6-13 0:00:00",2008-06-13,"0:00:00","cw","3",4,"c",0.01,1,"d",1,"ec","3830 dexter p",2008,6
"dexter","3830",1,"2008-7-16 0:00:00",2008-07-16,"0:00:00","cw","3",4,"c",0.008,1,"d",1,"ec","3830 dexter p",2008,7
"dexter","3830",1,"2008-8-20 0:00:00",2008-08-20,"0:00:00","cw","3",4,"c",0.009,1,"d",1,"ec","3830 dexter p",2008,8
"dexter","3830",1,"2008-9-25 0:00:00",2008-09-25,"0:00:00","cw","3",5,"c",0.01,1,"d",1,"ec","3830 dexter p",2008,9
"dexter","3830",1,"2008-11-4 0:00:00",2008-11-04,"0:00:00","cw","3",6,"c",0.01,1,"d",1,"ec","3830 dexter p",2008,11
"dexter","3830",1,"2010-9-8 0:00:00",2010-09-08,"0:00:00","ei","2",4,"c",0.007,1,"d",1,"ec","3830 dexter p",2010,9
"dexter","3830",1,"2010-9-8 0:00:00",2010-09-08,"0:00:00","ei","2",4,"c",0.01,2,"secrl",1,"r","3830 dexter p",2010,9
"dexter","3830",1,"2010-9-8 0:00:00",2010-09-08,"0:00:00","ei","2",7,"g",0.04,1,"secrl",1,"bg","3830 dexter p",2010,9
"dexter","3830",1,"2011-5-24 0:00:00",2011-05-24,"0:00:00","cw","3",6,"c",0.01,1,"d",1,"ec","3830 dexter p",2011,5
"dexter","3830",1,"2011-5-24 0:00:00",2011-05-24,"0:00:00","cw","3",6,"c",0.01,2,"d",1,"r","3830 dexter p",2011,5
"dexter","3830",1,"2011-6-27 0:00:00",2011-06-27,"0:00:00","cw","3",4,"c",0.01,1,"d",1,"ec","3830 dexter p",2011,6
"dexter","3830",1,"2011-7-12 0:00:00",2011-07-12,"0:00:00","cw","3",3.5,"c",0.01,1,"d",1,"ec","3830 dexter p",2011,7
"dexter","3830",1,"2011-8-11 0:00:00",2011-08-11,"0:00:00","cw","3",4,"c",0.01,1,"d",1,"ec","3830 dexter p",2011,8
"dexter","3830",1,"2014-6-2 0:00:00",2014-06-02,"0:00:00","cw","3",5,"c",0.01,1,"hetl",1,"ec","3830 dexter p",2014,6
"dexter","3830",1,"2014-6-16 0:00:00",2014-06-16,"0:00:00","cw","3",4,"c",0.01,1,"hetl",1,"ec","3830 dexter p",2014,6
"dexter","3830",1,"2014-7-14 0:00:00",2014-07-14,"0:00:00","cw","3",4,"c",0.01,1,"hetl",1,"ec","3830 dexter p",2014,7
"dexter","3830",1,"2014-8-7 0:00:00",2014-08-07,"0:00:00","cw","3",4,"c",0.008,2,"hetl",1,"r","3830 dexter p",2014,8
"dexter","3830",1,"2014-8-7 0:00:00",2014-08-07,"0:00:00","cw","3",4,"c",0.009,1,"hetl",1,"ec","3830 dexter p",2014,8
"dexter","3830",1,"2014-9-8 0:00:00",2014-09-08,"0:00:00","cw","3",3.5,"c",0.007,1,"hetl",1,"ec","3830 dexter p",2014,9
"dexter","3830",1,"2017-5-24 0:00:00",2017-05-24,"0:00:00","cw","3",6,"c",0.01,1,"hetl",1,"ec","3830 dexter p",2017,5
"dexter","3830",1,"2017-6-19 0:00:00",2017-06-19,"0:00:00","cw","3",4,"c",0.01,1,"hetl",1,"ec","3830 dexter p",2017,6
"dexter","3830",1,"2017-7-17 0:00:00",2017-07-17,"0:00:00","cw","3",4,"c",0.008,1,"hetl",1,"ec","3830 dexter p",2017,7
"dexter","3830",1,"2017-8-16 0:00:00",2017-08-16,"0:00:00","cw","3",4,"c",0.008,1,"hetl",1,"ec","3830 dexter p",2017,8
"dexter","3830",1,"2017-9-12 0:00:00",2017-09-12,"0:00:00","cw","3",4.5,"c",0.007,1,"hetl",1,"ec","3830 dexter p",2017,9
"dexter","3830",1,"2017-10-10 0:00:00",2017-10-10,"0:00:00","cw","3",5,"c",0.009,1,"hetl",1,"ec","3830 dexter p",2017,10
