"LAKNAM","MIDAS","STATION","SAMPDATE","AGENCY","PROJECT","DEPTH","TEMP","OXYGEN","OXYMETH","METER","CALIB"
"Annabessacook",9961,1,2022-07-26,"CW",3,0,26.8,7.7,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,1,26.6,7.6,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,2,26.2,7.6,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,3,26.1,7.6,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,4,25.9,7.6,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,5,25.8,7.1,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,6,22.9,4.8,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,7,20.7,1.9,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,8,18.1,0.4,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,9,15.4,0.3,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,10,13.6,0.2,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,11,12.9,0.2,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,12,12.8,0.2,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,0,26.8,7.7,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,1,26.6,7.6,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,2,26.2,7.6,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,3,26.1,7.6,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,4,25.9,7.6,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,5,25.8,7.1,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,6,22.9,4.8,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,7,20.7,1.9,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,8,18.1,0.4,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,9,15.4,0.3,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,10,13.6,0.2,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,11,12.9,0.2,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-07-26,"CW",3,12,12.8,0.2,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,0.1,26.3,9.2,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,1,25.4,9.4,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,2,24.8,9.3,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,3,24.5,8.7,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,4,24.4,8.4,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,5,23.6,6.7,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,6,23.1,4.7,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,7,22.4,2.3,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,8,18.9,0.3,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,9,15.7,0,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,10,14.4,0,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,11,13.4,0,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,12,13,0,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,0.1,26.3,9.2,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,1,25.4,9.4,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,2,24.8,9.3,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,3,24.5,8.7,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,4,24.4,8.4,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,5,23.6,6.7,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,6,23.1,4.7,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,7,22.4,2.3,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,8,18.9,0.3,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,9,15.7,0,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,10,14.4,0,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,11,13.4,0,"M","other","Y"
"Annabessacook",9961,1,2022-08-31,"CW",3,12,13,0,"M","other","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,0,13.8,8.9,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,1,13.7,8.9,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,2,13.6,8.8,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,3,13.5,8.8,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,4,13.4,8.8,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,5,13.3,8.7,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,6,13.3,8.6,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,7,13.2,8.5,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,8,13,8.2,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,9,12.8,7.8,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,10,12.7,7.4,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,11,12.6,6.9,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,12,12.5,6.6,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,12.8,12.5,5.7,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,0,13.8,8.9,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,1,13.7,8.9,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,2,13.6,8.8,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,3,13.5,8.8,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,4,13.4,8.8,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,5,13.3,8.7,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,6,13.3,8.6,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,7,13.2,8.5,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,8,13,8.2,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,9,12.8,7.8,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,10,12.7,7.4,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,11,12.6,6.9,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,12,12.5,6.6,"M","YSI52 1","Y"
"Annabessacook",9961,1,2022-11-07,"CW",3,12.8,12.5,5.7,"M","YSI52 1","Y"
